Ingredients,Cost (RM)
Egg yolks,0.50
Milk,3.00
Vegetable oil,5.00
Cornstarch,2.00
All-purpose flour,2.50
Egg whites,0.50
White sugar,2.50
Salt,1.00
Thickened cream,8.00
Vanilla extract,15.00
Mango,5.00
Butter,12.00
Sugar,2.50
Instant yeast,5.00
High protein flour,3.00
Instant coffee powder,20.00
Icing sugar,3.00
Eggs,0.50
Self-raising flour,3.00
Almond flour,25.00
Granulated sugar,2.50
Powdered sugar,3.00
Cream of tartar,10.00
Unsalted butter,13.00
Graham cracker crumbs,10.00
Cream cheese,15.00
Sour cream,8.00
Frozen blueberries,15.00
Blueberry jelly,8.00
Sweet corn,5.00
Mayonnaise,8.00
Parsley,3.00
Shredded cheese,20.00
Dried cranberries,15.00
Matcha powder,50.00
Active dry yeast,5.00
Vanilla bean paste,20.00
Heavy cream,10.00
Chocolate rice,10.00
